Name           Chip  XDISP  ECH   XDAng   Deck  Rbin  Cbin   IOrder EOrder
adrd-01.fits      1 RED  0.000 -0.6720 C1 1 2 59 97
adrd-02.fits      1 RED -0.200 -0.6720 C1 1 2 59 97
adrd-03.fits      1 RED  0.200 -0.6720 C1 1 2 59 96
adrd-04.fits      1 RED  0.000 -0.5195 C1 1 2 57 92
adrd-05.fits      1 RED -0.200 -0.5195 C1 1 2 57 92
adrd-06.fits      1 RED  0.200 -0.5195 C1 1 2 57 93
adrd-07.fits      1 RED  0.000 -0.3490 C1 1 2 55 87
adrd-08.fits      1 RED -0.200 -0.3490 C1 1 2 55 87
adrd-09.fits      1 RED  0.200 -0.3490 C1 1 2 55 87
adrd-10.fits      1 RED -0.400 -0.3490 C1 1 2 55 87
adrd-11.fits      1 RED  0.400 -0.3490 C1 1 2 55 88
adrd-12.fits      1 RED  0.000 -0.1600 C1 1 2 53 82
adrd-13.fits      1 RED -0.200 -0.1600 C1 1 2 53 82
adrd-14.fits      1 RED  0.200 -0.1600 C1 1 2 53 82
adrd-15.fits      1 RED -0.400 -0.1600 C1 1 2 53 82
adrd-16.fits      1 RED  0.400 -0.1600 C1 1 2 53 83
adrd-17.fits      1 RED  0.000  0.0600 C1 1 2 51 77
adrd-18.fits      1 RED -0.200  0.0600 C1 1 2 51 77
adrd-19.fits      1 RED  0.200  0.0600 C1 1 2 51 77
adrd-20.fits      1 RED -0.400  0.0600 C1 1 2 51 77
adrd-21.fits      1 RED  0.400  0.0600 C1 1 2 51 77
adrd-22.fits      1 RED  0.000  0.3000 C1 1 2 49 72
adrd-23.fits      1 RED -0.200  0.3000 C1 1 2 49 72
adrd-24.fits      1 RED  0.200  0.3000 C1 1 2 49 72
adrd-25.fits      1 RED -0.400  0.3000 C1 1 2 49 72
adrd-26.fits      1 RED  0.400  0.3000 C1 1 2 49 72
adrd-27.fits      1 RED  0.000  0.5805 C1 1 2 47 67
adrd-28.fits      1 RED -0.200  0.5805 C1 1 2 46 67
adrd-29.fits      1 RED  0.200  0.5805 C1 1 2 47 67
adrd-30.fits      1 RED -0.400  0.5805 C1 1 2 46 67
adrd-31.fits      1 RED  0.400  0.5805 C1 1 2 47 67
adrd-32.fits      1 RED -0.600  0.5805 C1 1 2 46 67
adrd-33.fits      1 RED  0.600  0.5805 C1 1 2 47 68
adrd-34.fits      1 RED  0.000  0.8995 C1 1 2 44 62
adrd-35.fits      1 RED -0.200  0.8995 C1 1 2 44 62
adrd-36.fits      1 RED  0.200  0.8995 C1 1 2 44 62
adrd-37.fits      1 RED -0.400  0.8995 C1 1 2 44 62
adrd-38.fits      1 RED  0.400  0.8995 C1 1 2 44 62
adrd-39.fits      1 RED -0.600  0.9000 C1 1 2 44 62
adrd-40.fits      1 RED  0.600  0.9000 C1 1 2 44 63
adrd-41.fits      1 RED  0.000  1.2795 C2 1 2 42 57
adrd-42.fits      1 RED -0.200  1.2795 C2 1 2 42 57
adrd-43.fits      1 RED  0.200  1.2795 C2 1 2 42 57
adrd-44.fits      1 RED -0.400  1.2795 C2 1 2 42 57
adrd-45.fits      1 RED  0.400  1.2795 C2 1 2 42 57
adrd-46.fits      1 RED -0.600  1.2795 C2 1 2 41 57
adrd-47.fits      1 RED  0.600  1.2795 C2 1 2 42 57
adrd-48.fits      1 RED -0.800  1.2795 C2 1 2 41 57
adrd-49.fits      1 RED  0.800  1.2795 C2 1 2 42 57
adrd-50.fits      1 RED  0.000  1.6390 C2 1 2 40 53
adrd-51.fits      1 RED -0.200  1.6390 C2 1 2 39 53
adrd-52.fits      1 RED  0.200  1.6390 C2 1 2 40 53
adrd-53.fits      1 RED -0.400  1.6390 C2 1 2 39 53
adrd-54.fits      1 RED  0.400  1.6390 C2 1 2 40 53
adrd-55.fits      1 RED -0.600  1.6390 C2 1 2 39 53
adrd-56.fits      1 RED  0.600  1.6390 C2 1 2 40 53
adrd-57.fits      1 RED -0.800  1.6390 C2 1 2 39 53
adrd-58.fits      1 RED  0.800  1.6390 C2 1 2 40 53
adrd-59.fits      1 RED  0.000  1.9385 C2 1 2 39 50
adrd-60.fits      1 RED -0.200  1.9385 C2 1 2 39 50
adrd-61.fits      1 RED  0.200  1.9385 C2 1 2 39 50
adrd-62.fits      1 RED -0.400  1.9385 C2 1 2 39 50
adrd-63.fits      1 RED  0.400  1.9385 C2 1 2 39 50
adrd-64.fits      1 RED -0.600  1.9385 C2 1 2 39 50
adrd-65.fits      1 RED  0.600  1.9385 C2 1 2 39 50
adrd-66.fits      1 RED -0.800  1.9385 C2 1 2 39 50
adrd-67.fits      1 RED  0.800  1.9385 C2 1 2 39 50
adrd-68.fits      1 RED -1.000  1.9385 C2 1 2 39 50
adrd-69.fits      1 RED  1.000  1.9385 C2 1 2 39 50
adrd-70.fits      1 RED  0.000  2.2880 C2 1 2 39 47
adrd-71.fits      1 RED -0.200  2.2880 C2 1 2 39 47
adrd-72.fits      1 RED  0.200  2.2880 C2 1 2 39 47
adrd-73.fits      1 RED -0.400  2.2880 C2 1 2 39 47
adrd-74.fits      1 RED  0.400  2.2880 C2 1 2 39 47
adrd-75.fits      1 RED -0.600  2.2880 C2 1 2 39 47
adrd-76.fits      1 RED  0.600  2.2880 C2 1 2 39 47
adrd-77.fits      1 RED -0.800  2.2880 C2 1 2 39 47
adrd-78.fits      1 RED  0.800  2.2880 C2 1 2 39 47
adrd-79.fits      1 RED -1.000  2.2880 C2 1 2 39 47
adrd-80.fits      1 RED  1.000  2.2880 C2 1 2 39 47
adrd97-01.fits    1 RED97  0.220 -0.5760 C5 1 2 58 94
adrd97-02.fits    1 RED97  0.220 -0.5760 C5 1 2 58 94
adrd97-03.fits    1 RED97 -0.220 -0.5855 C5 1 2 58 94
adrd97-04.fits    1 RED97 -0.220 -0.5855 C5 1 2 58 94
adrd97-05.fits    1 RED97 -0.300 -0.4695 C5 1 2 56 90
adrd97-06.fits    1 RED97 -0.300 -0.4695 C5 1 2 56 90
adrd97-07.fits    1 RED97 -0.220 -0.6385 C5 1 2 58 96
adrd97-08.fits    1 RED97 -0.220 -0.6385 C5 1 2 58 96
adrd97-09.fits    1 RED97  0.300 -0.4695 C5 1 2 56 91
adrd97-10.fits    1 RED97  0.300 -0.4695 C5 1 2 56 91
adrd97-11.fits    1 RED97  0.220 -0.6385 C5 1 2 58 96
adrd97-12.fits    1 RED97  0.220 -0.6385 C5 1 2 58 96
adrd97-13.fits    1 RED97 -0.250 -0.6750 C1 1 2 59 97
adrd97-14.fits    1 RED97 -0.250 -0.6750 C1 1 2 59 97
adrd97-15.fits    1 RED97  0.250 -0.6615 C1 1 2 59 97
adrd97-16.fits    1 RED97  0.250 -0.6615 C1 1 2 59 97
adrd97-17.fits    1 RED97  0.085  0.0305 C1 1 2 51 78
