|           Name | Chip | XDISP |         ECH |       XDAng | Deck | Rbin | Cbin | IOrder | EOrder |
|   adrd-01.fits |    1 |   RED |   4.228e-05 | -0.67199999 |   C1 |    1 |    2 |     59 |     97 |
|   adrd-02.fits |    1 |   RED | -0.20000076 | -0.67199999 |   C1 |    1 |    2 |     59 |     97 |
|   adrd-03.fits |    1 |   RED |   0.1999162 | -0.67199999 |   C1 |    1 |    2 |     59 |     96 |
|   adrd-04.fits |    1 |   RED |         0.0 | -0.51950002 |   C1 |    1 |    2 |     57 |     92 |
|   adrd-05.fits |    1 |   RED | -0.19995849 | -0.51950002 |   C1 |    1 |    2 |     57 |     92 |
|   adrd-06.fits |    1 |   RED |   0.1999162 | -0.51950002 |   C1 |    1 |    2 |     57 |     93 |
|   adrd-07.fits |    1 |   RED |   4.228e-05 | -0.34900001 |   C1 |    1 |    2 |     55 |     87 |
|   adrd-08.fits |    1 |   RED | -0.19995849 | -0.34900001 |   C1 |    1 |    2 |     55 |     87 |
|   adrd-09.fits |    1 |   RED |   0.1999162 | -0.34900001 |   C1 |    1 |    2 |     55 |     87 |
|   adrd-10.fits |    1 |   RED | -0.39995924 | -0.34900001 |   C1 |    1 |    2 |     55 |     87 |
|   adrd-11.fits |    1 |   RED |  0.39995924 | -0.34900001 |   C1 |    1 |    2 |     55 |     88 |
|   adrd-12.fits |    1 |   RED |         0.0 |       -0.16 |   C1 |    1 |    2 |     53 |     82 |
|   adrd-13.fits |    1 |   RED | -0.19995849 |       -0.16 |   C1 |    1 |    2 |     53 |     82 |
|   adrd-14.fits |    1 |   RED |   0.1999162 |       -0.16 |   C1 |    1 |    2 |     53 |     82 |
|   adrd-15.fits |    1 |   RED | -0.39991698 |       -0.16 |   C1 |    1 |    2 |     53 |     82 |
|   adrd-16.fits |    1 |   RED |  0.40004382 |       -0.16 |   C1 |    1 |    2 |     53 |     83 |
|   adrd-17.fits |    1 |   RED |         0.0 |        0.06 |   C1 |    1 |    2 |     51 |     77 |
