# wave                 flux                
  4126.5411352498      -6601.8076171875    
  4126.85842887657     -6165.873046875     
  4127.175722503339    -5435.86181640625   
  4127.493016130109    -5086.1689453125    
  4127.810309756878    -4780.24560546875   
  4128.1276033836475   -5440.6005859375    
  4128.444897010417    -5574.62744140625   
  4128.762190637187    -4566.5732421875    
  4129.079484263956    -5500.56884765625   
  4129.396777890725    -6831.0927734375    
  4129.714071517495    -6512.06298828125   
  4130.031365144265    -5825.0400390625    
  4130.348658771034    -5458.04638671875   
  4130.665952397803    -5355.75927734375   
  4130.9832460245725   -5214.86572265625   
  4131.300539651342    -5382.5185546875    
  4131.617833278112    -5777.5244140625    
  4131.935126904881    -5239.01611328125   
  4132.25242053165     -5387.89306640625   
  4132.56971415842     -5792.24072265625   
  4132.88700778519     -5006.63623046875   
  4133.204301411959    -5624.7841796875    
  4133.521595038728    -5719.96826171875   
  4133.8388886654975   -5775.53515625      
  4134.156182292267    -5062.376953125     
  4134.473475919037    -4528.873046875     
  4134.790769545806    -5189.80322265625   
  4135.108063172575    -5458.14990234375   
  4135.425356799345    -5187.53271484375   
  4135.742650426115    -4902.77197265625   
  4136.059944052884    -5490.27685546875   
  4136.377237679653    -5518.2451171875    
  4136.6945313064225   -5236.58349609375   
  4137.011824933193    -5611.369140625     
  4137.329118559962    -5558.12841796875   
  4137.646412186731    -5520.33349609375   
  4137.9637058135      -5164.3779296875    
  4138.28099944027     -5733.5595703125    
  4138.59829306704     -5677.66162109375   
  4138.915586693809    -5644.4921875       
  4139.232880320578    -5185.66845703125   
  4139.5501739473475   -4925.22265625      
  4139.867467574118    -5647.85205078125   
  4140.184761200887    -5136.7177734375    
  4140.502054827656    -6286.59716796875   
  4140.819348454425    -5598.9931640625    
  4141.1366420811955   -5653.1337890625    
  4141.453935707965    -5531.69091796875   
  4141.771229334734    -5655.9306640625    
  4142.088522961503    -5156.00341796875   
  4142.4058165882725   -5431.16015625      
  4142.723110215043    -5821.59912109375   
  4143.040403841812    -5510.87890625      
  4143.357697468581    -5277.0908203125    
  4143.67499109535     -5116.0146484375    
  4143.9922847221205   -5638.8515625       
  4144.30957834889     -5722.91748046875   
  4144.626871975659    -5487.51171875      
  4144.944165602428    -6050.31494140625   
  4145.2614592291975   -5031.677734375     
  4145.578752855968    -4822.96337890625   
  4145.896046482737    -5158.69189453125   
  4146.213340109506    -5227.19580078125   
  4146.530633736275    -4483.984375        
