# wave                 flux               
  5394.39663376871     -9528.3583984375   
  5394.71770751027     -10585.6181640625  
  5395.03878125183     -11720.017578125   
  5395.35985499339     -12996.1875        
  5395.680928734951    -13616.4580078125  
  5396.002002476511    -14670.42578125    
  5396.323076218071    -15343.490234375   
  5396.644149959631    -15855.462890625   
  5396.9652237011915   -16619.615234375   
  5397.286297442752    -17615.4375        
  5397.607371184312    -18222.087890625   
  5397.928444925872    -18569.099609375   
  5398.249518667432    -19530.416015625   
  5398.5705924089925   -20399.240234375   
  5398.891666150553    -20542.51171875    
  5399.212739892113    -21284.525390625   
  5399.533813633673    -22071.740234375   
  5399.854887375233    -22728.26171875    
  5400.175961116794    -23711.681640625   
  5400.497034858354    -24141.734375      
  5400.818108599914    -24682.19140625    
  5401.139182341474    -25106.154296875   
  5401.460256083034    -24008.78125       
  5401.781329824595    -23598.521484375   
  5402.102403566155    -23552.333984375   
  5402.423477307715    -23572.837890625   
  5402.744551049275    -23123.533203125   
  5403.0656247908355   -23224.146484375   
  5403.386698532396    -22589.69140625    
  5403.707772273956    -22641.626953125   
  5404.028846015516    -22253.27734375    
  5404.349919757076    -22517.0546875     
  5404.670993498637    -22454.923828125   
  5404.992067240197    -21694.603515625   
  5405.313140981757    -20269.076171875   
  5405.634214723317    -19160.2578125     
  5405.955288464877    -18549.68359375    
  5406.276362206438    -17799.60546875    
  5406.597435947998    -18322.5546875     
  5406.918509689558    -19738.716796875   
  5407.239583431118    -19476.966796875   
  5407.5606571726785   -20134.25390625    
  5407.881730914239    -20625.80859375    
  5408.202804655799    -21035.708984375   
  5408.523878397359    -20980.0234375     
  5408.844952138919    -21115.1953125     
  5409.1660258804795   -21194.34375       
  5409.48709962204     -20991.28515625    
  5409.8081733636      -20653.365234375   
  5410.12924710516     -20695.74609375    
  5410.45032084672     -20789.265625      
  5410.771394588281    -20429.05078125    
  5411.092468329841    -20731.62890625    
  5411.413542071401    -20116.458984375   
  5411.734615812961    -20212.01953125    
